PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0054XX 25 AV S,3739306,MP 2018 999255,03,2/8/2018 6:34:23 PM,2/7/2018 11:00:00 PM,23:00:00,TFMV,Theft From Motr Vehc,07,2/8/2018 6:34:23 PM,13382,44.90440023,-93.23613392,-10378998.9519,5606483.794,WENONAH,2/8/2018 6:34:30 PM,2/8/2018 8:00:33 PM,120,-10378998.9519,5606483.794
0013XX 2 AV S,3739349,MP 2018 041488,01,2/8/2018 11:30:00 PM,2/8/2018 12:00:00 PM,12:00:00,TFMV,Theft From Motr Vehc,07,2/8/2018 11:32:33 PM,25845,44.96976154,-93.27499862,-10383325.3499,5616762.3157,LORING PARK,2/9/2018 6:33:05 AM,2/9/2018 8:00:40 PM,131,-10383325.3499,5616762.3157
0038XX 23 AV S,3739378,MP 2018 042043,03,2/9/2018 8:10:00 AM,2/9/2018 6:35:00 AM,06:35:00,AUTOTH,Motor Vehicle Theft,08,2/9/2018 8:10:39 AM,20876,44.93321218,-93.23845851,-10379257.7236,5611013.2313,STANDISH,2/9/2018 2:42:59 PM,2/9/2018 8:00:40 PM,137,-10379257.7236,5611013.2313
0036XX MINNEHAHA AV ,3739409,MP 2018 999252,03,2/9/2018 9:50:12 AM,2/7/2018 7:15:00 PM,19:15:00,TFMV,Theft From Motr Vehc,07,2/9/2018 9:50:12 AM,21265,44.93585216,-93.22514216,-10377775.3542,5611428.3691,HOWE,2/9/2018 9:50:17 AM,2/9/2018 8:00:40 PM,140,-10377775.3542,5611428.3691
0041XX Grand AV S,3739433,MP 2018 042081,05,2/9/2018 8:39:00 AM,2/9/2018 12:01:00 AM,00:01:00,TFMV,Theft From Motr Vehc,07,2/9/2018 10:25:09 AM,12797,44.92773658,-93.28440022,-10384371.931,5610152.255,KING FIELD,2/9/2018 12:54:27 PM,2/9/2018 8:00:40 PM,142,-10384371.931,5610152.255
0024XX James AV N,3739437,MP 2018 042042,04,2/9/2018 10:42:00 AM,2/9/2018 6:55:00 AM,06:55:00,AUTOTH,Motor Vehicle Theft,08,2/9/2018 10:42:25 AM,22662,45.00392809,-93.30214193,-10386346.9301,5622139.9046,JORDAN,2/9/2018 11:19:49 AM,2/9/2018 8:00:40 PM,143,-10386346.9301,5622139.9046
0007XX 4 ST S,3739518,MP 2018 999233,01,2/9/2018 5:39:18 PM,2/8/2018 7:00:00 AM,07:00:00,TFMV,Theft From Motr Vehc,07,2/9/2018 5:39:18 PM,18599,44.97546603,-93.25960587,-10381611.837,5617659.9407,DOWNTOWN EAST,2/9/2018 5:39:21 PM,2/9/2018 8:00:40 PM,158,-10381611.837,5617659.9407
HIAWATHA AV  / 44 AV S,3739529,MP 2018 999231,99,2/9/2018 7:31:42 PM,2/9/2018 7:00:00 AM,07:00:00,TFMV,Theft From Motr Vehc,07,2/9/2018 7:31:42 PM,,44.91202,-93.21002,-10376091.9,5607681.606,MINNEHAHA,2/9/2018 7:31:47 PM,2/9/2018 8:00:40 PM,160,-10376091.9,5607681.606
0008XX 3 AV S,3742987,MP 2018 061653,01,2/26/2018 4:45:00 PM,1/17/2018 12:00:00 PM,12:00:00,AUTOTH,Motor Vehicle Theft,08,2/26/2018 4:45:17 PM,17422,44.97371067,-93.26938581,-10382700.5348,5617383.719,DOWNTOWN WEST,2/27/2018 6:43:57 AM,2/27/2018 8:00:34 PM,164,-10382700.5348,5617383.719
0050XX 34 AV S,3743032,MP 2018 998965,03,2/26/2018 9:01:38 PM,2/25/2018 2:45:00 PM,14:45:00,TFMV,Theft From Motr Vehc,07,2/26/2018 9:01:38 PM,12920,44.91125108,-93.22285184,-10377520.3968,5607560.5896,MINNEHAHA,2/27/2018 5:54:12 AM,2/27/2018 8:00:34 PM,171,-10377520.3968,5607560.5896
