X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10387612.5538,5609635.4804,0025XX 43RD ST W,MP2018700838        ,5     ,2018/07/12 00:00:00+00,1342,2018/07/12 00:00:00+00,2018/07/12 13:42:00+00,1000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,11984,-93.31351,44.92444,-10387612.5538,5609635.4804,Linden Hills,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9812
-10378483.6876,5620760.0675,0020XX KENNEDY ST NE,MP2018700839        ,2     ,2018/07/11 00:00:00+00,738,2018/07/10 00:00:00+00,2018/07/11 07:38:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,,-93.2315,44.99516,-10378483.6876,5620760.0675,Como,2019/04/09 00:00:00+00,2022/03/17 09:10:30+00,9813
-10384521.8786,5605881.3211,0056XX HARRIET AVE,MP2018700840        ,5     ,2018/07/11 00:00:00+00,845,2018/07/10 00:00:00+00,2018/07/11 08:45:00+00,2230,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,18300,-93.28574,44.90056,-10384521.8786,5605881.3211,Windom,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9814
-10383162.7502,5619720.0064,0007XX 1ST ST N,MP2018700841        ,1     ,2018/07/11 00:00:00+00,944,2018/07/10 00:00:00+00,2018/07/11 09:44:00+00,2230,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,14829,-93.27353,44.98855,-10383162.7502,5619720.0064,North Loop,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9815
-10379950.8938,5623235.4,0010XX 23RD AVE NE,MP2018700843        ,2     ,2018/07/11 00:00:00+00,952,2018/07/10 00:00:00+00,2018/07/11 09:52:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,,-93.24468,45.01088,-10379950.8938,5623235.4,Windom Park,2019/03/28 00:00:00+00,2022/03/17 09:10:30+00,9816
-10384445.9084,5609724.922,0004XX 43RD ST W,MP2018700848        ,5     ,2018/07/11 00:00:00+00,1148,2018/07/06 00:00:00+00,2018/07/11 11:48:00+00,2330,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,19684,-93.28506,44.92501,-10384445.9084,5609724.922,King Field,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9818
-10381384.178,5613813.6675,0028XX 12TH AVE S,MP2018700849        ,3     ,2018/07/11 00:00:00+00,1223,2018/07/11 00:00:00+00,2018/07/11 12:23:00+00,800,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,,-93.25756,44.95101,-10381384.178,5613813.6675,Midtown Phillips,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9819
-10387612.5538,5609635.4804,0025XX 43RD ST W,MP2018700850        ,5     ,2018/07/13 00:00:00+00,839,2018/07/12 00:00:00+00,2018/07/13 08:39:00+00,1000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,11984,-93.31351,44.92444,-10387612.5538,5609635.4804,Linden Hills,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9820
-10385408.6237,5616080.1809,0011XX SUMMIT AVE,MP2018700851        ,5     ,2018/07/13 00:00:00+00,1116,2018/07/12 00:00:00+00,2018/07/13 11:16:00+00,2100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,17891,-93.29371,44.96542,-10385408.6237,5616080.1809,Lowry Hill,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9821
-10380304.7678,5618590.1086,0007XX MAIN ST SE,MP2018700852        ,2     ,2018/07/13 00:00:00+00,1054,2018/07/08 00:00:00+00,2018/07/13 10:54:00+00,2000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,,-93.24786,44.98137,-10380304.7678,5618590.1086,Marcy Holmes,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9822
-10378483.6876,5620760.0675,0020XX KENNEDY ST NE,MP2018700859        ,2     ,2018/07/11 00:00:00+00,1228,2018/07/10 00:00:00+00,2018/07/11 12:28:00+00,2230,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,17383,-93.2315,44.99516,-10378483.6876,5620760.0675,Como,2019/04/09 00:00:00+00,2022/03/17 09:10:30+00,9826
-10378483.6876,5620760.0675,0020XX KENNEDY ST NE,MP2018700861        ,2     ,2018/07/11 00:00:00+00,1321,2018/07/10 00:00:00+00,2018/07/11 13:21:00+00,2230,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,17383,-93.2315,44.99516,-10378483.6876,5620760.0675,Como,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,9827
-10378915.9284,5618527.9491,0004XX 14TH AVE SE,MP2018700866        ,2     ,2018/07/11 00:00:00+00,1618,2018/07/09 00:00:00+00,2018/07/11 16:18:00+00,2300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,16895,-93.23538,44.98098,-10378915.9284,5618527.9491,Marcy Holmes,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,9830
-10382948.7717,5607894.0289,0049XX CLINTON AVE,MP2018700875        ,5     ,2018/07/11 00:00:00+00,2058,2018/07/09 00:00:00+00,2018/07/11 20:58:00+00,2345,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,12403,-93.27161,44.91337,-10382948.7717,5607894.0289,Tangletown,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9836
-10377164.6012,5607491.3261,0036XX 51ST ST E,MP2018700877        ,3     ,2018/07/11 00:00:00+00,2119,2018/07/11 00:00:00+00,2018/07/11 21:19:00+00,1815,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,,-93.21965,44.91081,-10377164.6012,5607491.3261,Minnehaha,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9838
-10389064.6178,5609033.5747,0045XX DREW AVE S,MP2018700880        ,5     ,2018/07/12 00:00:00+00,1009,2018/07/12 00:00:00+00,2018/07/12 10:09:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/13 00:00:00+00,13774,-93.32655,44.92062,-10389064.6178,5609033.5747,Linden Hills,2018/07/13 00:00:00+00,2022/03/17 09:10:30+00,9840
