X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10378915.9284,5618527.9491,0004XX 14TH AVE SE,MP2020291049        ,2     ,2020/11/17 00:00:00+00,1155,2020/11/09 00:00:00+00,2020/11/17 11:55:00+00,1200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,16640,-93.23538,44.98098,-10378915.9284,5618527.9491,Marcy Holmes,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12915
-10387337.8622,5619475.3501,0008XX RUSSELL AVE N,MP2020291104        ,4     ,2020/11/17 00:00:00+00,1452,2020/11/17 00:00:00+00,2020/11/17 14:52:00+00,1452,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,15438,-93.31104,44.987,-10387337.8622,5619475.3501,Willard - Hay,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12922
-10381697.4458,5615370.6021,0009XX 22ND ST E,MP2020291130        ,3     ,2020/11/17 00:00:00+00,1354,2020/11/17 00:00:00+00,2020/11/17 13:54:00+00,1310,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/17 00:00:00+00,16430,-93.26037,44.96091,-10381697.4458,5615370.6021,Ventura Village,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12923
-10382876.0737,5617074.391,0010XX 3RD AVE S,MP2020291132        ,1     ,2020/11/17 00:00:00+00,1355,2020/11/17 00:00:00+00,2020/11/17 13:55:00+00,1350,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,17355,-93.27096,44.97174,-10382876.0737,5617074.391,Downtown West,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12924
-10381914.4599,5621662.8281,0003XX 13TH AVE NE,MP2020291147        ,2     ,2020/11/17 00:00:00+00,1654,2020/11/17 00:00:00+00,2020/11/17 16:54:00+00,1355,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/19 00:00:00+00,22529,-93.26232,45.00089,-10381914.4599,5621662.8281,Sheridan,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12925
-10381952.4667,5613258.2397,0030XX CHICAGO AVE,MP2020291160        ,3     ,2020/11/17 00:00:00+00,1606,2020/11/17 00:00:00+00,2020/11/17 16:06:00+00,1530,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,19700,-93.26266,44.94748,-10381952.4667,5613258.2397,Powderhorn Park,2020/12/30 00:00:00+00,2022/03/17 09:10:31+00,12926
-10384363.6458,5612145.763,0034XX GRAND AVE S,MP2020291162        ,5     ,2020/11/17 00:00:00+00,1515,2020/11/17 00:00:00+00,2020/11/17 15:15:00+00,1430,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/19 00:00:00+00,10145,-93.28432,44.94041,-10384363.6458,5612145.763,Lyndale,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12928
-10381783.6851,5618590.3629,0003XX 1ST ST S,MP2020291181        ,1     ,2020/11/17 00:00:00+00,1941,2020/11/17 00:00:00+00,2020/11/17 19:41:00+00,1430,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/19 00:00:00+00,17113,-93.26114,44.98137,-10381783.6851,5618590.3629,Downtown West,2020/11/20 00:00:00+00,2022/03/17 09:10:31+00,12930
-10379344.3997,5618668.5414,0011XX 4TH ST SE,MP2020291185        ,2     ,2020/11/17 00:00:00+00,2231,2020/11/16 00:00:00+00,2020/11/17 22:31:00+00,1930,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/19 00:00:00+00,16561,-93.23923,44.98187,-10379344.3997,5618668.5414,Marcy Holmes,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12931
-10386747.4699,5624883.2806,0036XX NEWTON AVE N,MP2020291233        ,4     ,2020/11/17 00:00:00+00,1641,2020/11/17 00:00:00+00,2020/11/17 16:41:00+00,916,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/19 00:00:00+00,18280,-93.30574,45.02135,-10386747.4699,5624883.2806,Folwell,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12938
-10375337.8172,5607092.865,0053XX SOUTH MINNEHAHA PARK DR,MP2020291271        ,3     ,2020/11/17 00:00:00+00,1705,2020/11/17 00:00:00+00,2020/11/17 17:05:00+00,1700,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,23504,-93.20324,44.90827,-10375337.8172,5607092.865,Minnehaha,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12944
-10384030.2411,5613865.3743,0028XX PILLSBURY AVE,MP2020291300        ,5     ,2020/11/18 00:00:00+00,715,2020/11/16 00:00:00+00,2020/11/18 07:15:00+00,2300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,14849,-93.28133,44.95134,-10384030.2411,5613865.3743,Whittier,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12945
-10386270.9865,5613537.2334,0015XX LAGOON AVE,MP2020291396        ,5     ,2020/11/17 00:00:00+00,2105,2020/11/17 00:00:00+00,2020/11/17 21:05:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,,-93.30145,44.94926,-10386270.9865,5613537.2334,East Isles,2020/11/18 00:00:00+00,2022/03/26 07:00:58+00,12951
-10380237.3113,5616638.5011,0004XX CEDAR AVE S,MP2020291416        ,1     ,2020/11/17 00:00:00+00,2108,2020/11/17 00:00:00+00,2020/11/17 21:08:00+00,2029,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,14908,-93.24725,44.96897,-10380237.3113,5616638.5011,Cedar Riverside,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12952
-10385622.9657,5621251.567,0018XX FREMONT AVE N,MP2020291418        ,4     ,2020/11/17 00:00:00+00,2117,2020/11/17 00:00:00+00,2020/11/17 21:17:00+00,2117,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,15077,-93.29563,44.99828,-10385622.9657,5621251.567,Near - North,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12953
-10385338.213,5624867.4959,0036XX DUPONT AVE N,MP2020291436        ,4     ,2020/11/18 00:00:00+00,141,2020/11/17 00:00:00+00,2020/11/18 01:41:00+00,2100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,10019,-93.29308,45.02125,-10385338.213,5624867.4959,Folwell,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12956
-10384781.4803,5625717.7483,0039XX LYNDALE AVE N,MP2020291499        ,4     ,2020/11/17 00:00:00+00,2312,2020/11/17 00:00:00+00,2020/11/17 23:12:00+00,2312,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/19 00:00:00+00,22760,-93.28807,45.02664,-10384781.4803,5625717.7483,Webber - Camden,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12957
-10381800.4159,5614947.0387,0024XX ELLIOT AVE,MP2020291505        ,3     ,2020/11/18 00:00:00+00,5,2020/11/17 00:00:00+00,2020/11/18 00:05:00+00,2000,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,16426,-93.26129,44.95822,-10381800.4159,5614947.0387,Midtown Phillips,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12958
